Positive Score,Negative Score,Polarity Score,Subjectivity Score,Average Sentence Length,Percentage of Complex Words,Fog Index,Average Number of Words Per Sentence,Complex Word Count,Word Count,Syllable Per Word,Personal Pronouns,Average Word Length
22,3,0.7599999696000012,0.08710801363376999,20.5,0.5435540069686411,8.417421602787456,20.5,156,287,2.6759581881533103,0,6.912891986062718
19,11,0.26666665777777804,0.06289308162915497,29.8125,0.39832285115303984,12.084329140461216,29.8125,190,477,2.3878406708595388,1,6.2914046121593294
23,14,0.24324323666910172,0.0797413791384884,14.06060606060606,0.4956896551724138,5.82251828631139,14.06060606060606,230,464,2.6508620689655173,0,6.842672413793103
21,25,-0.08695651984877131,0.08214285699617346,13.023255813953488,0.4446428571428571,5.387159468438539,13.023255813953488,249,560,2.532142857142857,0,6.546428571428572
32,25,0.12280701538935061,0.10877862574660567,18.714285714285715,0.5381679389312977,7.700981461286806,18.714285714285715,282,524,2.7919847328244276,1,7.301526717557252
0,0,0.0,0.0,1.0,1.0,0.8,1.0,1,1,3.0,0,8.0
57,35,0.23913043218336488,0.15384615358888604,9.2,0.4765886287625418,3.8706354515050165,9.2,285,598,2.608695652173913,0,6.747491638795987
65,35,0.299999997,0.11848341218189169,12.787878787878787,0.6066350710900474,5.357805543587535,12.787878787878787,512,844,2.9324644549763033,0,7.520142180094787
67,23,0.4888888834567902,0.1282051280224998,9.236842105263158,0.48005698005698005,3.8867596341280555,9.236842105263158,337,702,2.6481481481481484,0,6.733618233618234
58,23,0.43209876009754616,0.1037131880874351,14.2,0.5096030729833547,5.883841229193342,14.2,398,781,2.7003841229193344,1,7.090909090909091
45,22,0.34328357696591677,0.11733800329713134,11.895833333333334,0.5061295971978984,4.960785172212493,11.895833333333334,289,571,2.6882661996497372,2,7.066549912434326
26,12,0.36842104293628836,0.10919540198507069,8.487804878048781,0.47701149425287354,3.5859265489206624,8.487804878048781,166,348,2.6149425287356323,0,6.89367816091954
0,0,0.0,0.0,1.0,1.0,0.8,1.0,1,1,3.0,0,8.0
36,13,0.4693877455226991,0.14540059304035433,11.620689655172415,0.4599406528189911,4.832252123196563,11.620689655172415,155,337,2.43026706231454,0,6.596439169139466
66,39,0.2571428546938776,0.10960334017786708,13.884057971014492,0.5031315240083507,5.754875798009138,13.884057971014492,482,958,2.6920668058455113,1,6.825678496868476
49,64,-0.1327433616571384,0.11907270798833224,10.784090909090908,0.4910432033719705,4.510053644985152,10.784090909090908,466,949,2.6217070600632244,0,7.008429926238145
35,20,0.2727272677685951,0.09322033882505028,14.75,0.5932203389830508,6.13728813559322,14.75,350,590,2.971186440677966,1,7.750847457627119
30,28,0.03448275802615935,0.09570957079915912,9.774193548387096,0.47194719471947194,4.0984562972426275,9.774193548387096,286,606,2.623762376237624,0,6.66006600660066
57,23,0.4249999946875001,0.12658227828072424,20.387096774193548,0.5379746835443038,8.37002858309514,20.387096774193548,340,632,2.8069620253164556,3,7.205696202531645
0,0,0.0,0.0,1.0,1.0,0.8,1.0,1,1,3.0,0,8.0
25,0,0.9999999600000016,0.09765624961853027,15.058823529411764,0.5703125,6.251654411764706,15.058823529411764,146,256,2.875,0,7.359375
78,39,0.3333333304843305,0.15875169584972632,92.125,0.4925373134328358,37.047014925373134,92.125,363,737,2.6309362279511532,0,6.8561736770692
22,0,0.9999999545454565,0.0508083139704196,13.53125,0.5796766743648961,5.644370669745959,13.53125,251,433,2.771362586605081,0,7.309468822170901
14,6,0.399999980000001,0.059347180832797684,17.736842105263158,0.5875370919881305,7.329751678900516,17.736842105263158,198,337,2.830860534124629,0,7.6973293768546
3,3,0.0,0.04316546731535635,69.5,0.5539568345323741,28.02158273381295,69.5,77,139,2.8920863309352516,0,7.474820143884892
0,0,0.0,0.0,1.0,1.0,0.8,1.0,1,1,3.0,0,8.0
24,68,-0.47826086436672977,0.13981762896684252,15.666666666666666,0.5319148936170213,6.479432624113476,15.666666666666666,350,658,2.709726443768997,0,6.9787234042553195
17,14,0.09677419042663901,0.09253731315660503,13.958333333333334,0.47761194029850745,5.774378109452737,13.958333333333334,160,335,2.629850746268657,1,6.794029850746269
55,37,0.19565217178638944,0.1144278605541942,9.348837209302326,0.47885572139303484,3.931077172278145,9.348837209302326,385,804,2.689054726368159,0,6.960199004975125
38,3,0.8536585157644265,0.13758389215575875,13.545454545454545,0.5536912751677853,5.639658328248933,13.545454545454545,165,298,2.748322147651007,0,7.23489932885906
4,1,0.599999880000024,0.026178010334146542,14.692307692307692,0.43455497382198954,6.0507450664518725,14.692307692307692,83,191,2.549738219895288,0,6.5863874345549736
27,8,0.5428571273469392,0.06554307103830885,19.77777777777778,0.4756554307116105,8.101373283395757,19.77777777777778,254,534,2.49812734082397,0,6.48876404494382
20,8,0.4285714132653067,0.09120521142929898,27.90909090909091,0.5309446254071661,11.37601421379923,27.90909090909091,163,307,2.8957654723127035,0,7.306188925081433
14,8,0.27272726033057904,0.137499999140625,6.956521739130435,0.5625,3.007608695652174,6.956521739130435,90,160,2.975,0,7.6875
5,0,0.99999980000004,0.05813953420767984,10.75,0.5581395348837209,4.523255813953488,10.75,48,86,2.895348837209302,0,7.755813953488372
22,37,-0.25423728382648675,0.1740412974217071,6.053571428571429,0.39823008849557523,2.5807206068268016,6.053571428571429,135,339,2.5162241887905603,3,6.545722713864307
7,2,0.5555554938271674,0.10975609622248664,13.666666666666666,0.47560975609756095,5.6569105691056905,13.666666666666666,39,82,2.597560975609756,0,6.878048780487805
47,17,0.4687499926757814,0.11169284448221144,16.37142857142857,0.62478184991274,6.7984841685365245,16.37142857142857,358,573,3.0453752181500873,0,7.755671902268761
10,18,-0.28571427551020445,0.11382113774869457,12.3,0.5487804878048781,5.139512195121952,12.3,135,246,2.658536585365854,0,6.979674796747967
22,37,-0.25423728382648675,0.13169642827746333,11.487179487179487,0.453125,4.776121794871795,11.487179487179487,203,448,2.5089285714285716,0,6.803571428571429
25,46,-0.2957746437214839,0.08637469575866825,16.44,0.5559610705596107,6.798384428223845,16.44,457,822,2.894160583941606,1,7.588807785888078
40,22,0.29032257596253913,0.08635097481009614,16.318181818181817,0.4387186629526462,6.702760192453785,16.318181818181817,315,718,2.5752089136490253,0,6.692200557103064
33,25,0.1379310321046374,0.08682634717540966,9.542857142857143,0.4431137724550898,3.9943883661248933,9.542857142857143,296,668,2.5434131736526946,0,6.652694610778443
24,5,0.655172391200952,0.09090909062410943,6.018867924528302,0.5172413793103449,2.614443721535459,6.018867924528302,165,319,2.7115987460815045,0,7.037617554858934
